addr,category,name,symbol,info
0xAef38fBFBF932D1AeF3B808Bc8fBd8Cd8E1f8BC5,[A2],CreditBIT,CRB,_
0xB45a50545bEEAB73F38F31E5973768C421805E5E,[B2][B3],TKRToken,TKR,_
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,[B1],BNB,BNB,_
0xBA5F11b16B155792Cf3B2E6880E8706859A8AEB6,[B1],Aeron,ARN,_
0xC27C95350eCD634C80dF89db0f10cd5c24B7B11f,[B1],PixieCoin,PXC,_
0xC5d105E63711398aF9bbff092d4B6769C82F793D,[A1],BeautyChain,BEC,_
0xCc13Fc627EFfd6E35D2D2706Ea3C4D7396c610ea,[A12],idex-membership,_,_
0xCc34366E3842cA1BD36c1f324d15257960fCC801,[B1][B2][B3],Bonpay Token,BON,_
0xCdCFc0f66c522Fd086A1b725ea3c0Eeb9F9e8814,[A12],Aurora DAO,AURA,_
0xD65960FAcb8E4a2dFcb2C2212cb2e44a02e2a57E,[A10][A13],Soarcoin,Soar,_
0xEF68e7C694F40c8202821eDF525dE3782458639f,[B1][B2][B3],loopring,LRC,_
0xEa1f346faF023F974Eb5adaf088BbCdf02d761F4,[B1][B2][B3],Blocktix Token,TIX,_
0xF433089366899D83a9f26A773D59ec7eCF30355e,[B1][B2][B3],Metal,MTL,_
0xaE616e72D3d89e847f74E8ace41Ca68bbF56af79,[B1],Good Karma,∞,_
0xaeC2E87E0A235266D9C5ADc9DEb4b2E29b54D009,[A2],SingularDTV,SNGLS,_
0xb5A5F22694352C15B00323844aD545ABb2B11028,[A11],icon,ICX,_
0xc72fe8e3Dd5BeF0F9f31f259399F301272eF2a2D,[A2],Insights Network,INSTAR,_
0xd7631787B4dCc87b1254cfd1e5cE48e96823dEe8,[A2],SOCIAL,SCL,_
0xe120c1ECBfdFeA7F0A8f0Ee30063491E8c26fedf,[B1],Suretly,SUR,_
0xe3818504c1B32bF1557b16C238B2E01Fd3149C17,[B1][B2][B3],PILLAR,PLR,_
0xf05a9382A4C3F29E2784502754293D88b835109C,[B1][B2][B3],REX - Real Estate tokens,REX,_
